gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
5179,20211231,2021,INDL,C,D,STD,GLT,USD,A,1510
5234,20211231,2021,INDL,C,D,STD,GT,USD,A,2510
5237,20211231,2021,INDL,C,D,STD,GRC,USD,A,2010
5252,20211231,2021,INDL,C,D,STD,GGG,USD,A,2010
5256,20211231,2021,INDL,C,D,STD,GWW,USD,A,2010
5342,20211231,2021,INDL,C,D,STD,MGI,USD,A,4510
5439,20211231,2021,INDL,C,D,STD,HAL,USD,A,1010
5496,20211231,2021,INDL,C,D,STD,HSC,USD,A,2020
5518,20211231,2021,INDL,C,D,STD,HAS,USD,A,2520
5520,20211231,2021,INDL,C,D,STD,AMOT,USD,A,2010
5526,20211231,2021,INDL,C,D,STD,HE,USD,A,5510
5530,20210331,2020,INDL,C,D,STD,HWKN,USD,A,1510
5539,20211231,2021,INDL,C,D,STD,HCSG,USD,A,2020
5559,20211231,2021,INDL,C,D,STD,STRL,USD,A,2010
5560,20211231,2021,INDL,C,D,STD,HL,USD,A,1510
5568,20211231,2021,INDL,C,D,STD,KHC,USD,A,3020
5572,20210228,2020,INDL,C,D,STD,HELE,USD,A,2520
5581,20210930,2021,INDL,C,D,STD,HP,USD,A,1010
5597,20211231,2021,INDL,C,D,STD,HSY,USD,A,3020
5606,20211031,2021,INDL,C,D,STD,HPQ,USD,A,4520
5608,20211231,2021,INDL,C,D,STD,HXL,USD,A,2010
5643,20211231,2021,INDL,C,D,STD,HLT,USD,A,2530
5680,20210131,2020,INDL,C,D,STD,HD,USD,A,2550
5690,20211231,2021,INDL,C,D,STD,HNI,USD,A,2020
5709,20211031,2021,INDL,C,D,STD,HRL,USD,A,3020
5742,20211231,2021,INDL,C,D,STD,CNP,USD,A,5510
5750,20211031,2021,INDL,C,D,STD,HOV,USD,A,2520
5763,20211031,2021,INDL,C,D,STD,UBA,USD,A,6010
5764,20211231,2021,INDL,C,D,STD,HUBB,USD,A,2010
5783,20211231,2021,INDL,C,D,STD,JBHT,USD,A,2030
5786,20211231,2021,INDL,C,D,STD,HBAN,USD,A,4010
5860,20211231,2021,INDL,C,D,STD,ITT,USD,A,2010
5870,20211231,2021,INDL,C,D,STD,IDA,USD,A,5510
5878,20211231,2021,INDL,C,D,STD,ITW,USD,A,2010
5968,20211231,2021,INDL,C,D,STD,RYI,USD,A,1510
5987,20210930,2021,INDL,C,D,STD,GFF,USD,A,2010
6008,20211231,2021,INDL,C,D,STD,INTC,USD,A,4530
6066,20211231,2021,INDL,C,D,STD,IBM,USD,A,4510
6078,20211231,2021,INDL,C,D,STD,IFF,USD,A,1510
6100,20211231,2021,INDL,C,D,STD,IDCC,USD,A,4510
6104,20211231,2021,INDL,C,D,STD,IP,USD,A,1510
6136,20211231,2021,INDL,C,D,STD,IPG,USD,A,5020
6223,20211231,2021,INDL,C,D,STD,EME,USD,A,2010
6266,20211231,2021,INDL,C,D,STD,JNJ,USD,A,3520
6268,20210930,2021,INDL,C,D,STD,JCI,USD,A,2010
6304,20210630,2021,INDL,C,D,STD,KLAC,USD,A,4530
6310,20211231,2021,INDL,C,D,STD,KMI,USD,A,1010
6326,20211231,2021,INDL,C,D,STD,KAMN,USD,A,2010
6375,20211231,2021,INDL,C,D,STD,K,USD,A,3020
6379,20211231,2021,INDL,C,D,STD,KELYA,USD,A,2020
6386,20210630,2021,INDL,C,D,STD,KMT,USD,A,2010
6433,20210630,2021,INDL,C,D,STD,KBAL,USD,A,2020
6435,20211231,2021,INDL,C,D,STD,KMB,USD,A,3030
6461,20211231,2021,INDL,C,D,STD,KEX,USD,A,2030
6502,20210131,2020,INDL,C,D,STD,KR,USD,A,3010
6509,20210930,2021,INDL,C,D,STD,KLIC,USD,A,4530
6543,20210430,2020,INDL,C,D,STD,LZB,USD,A,2520
6547,20210930,2021,INDL,C,D,STD,SR,USD,A,5510
6565,20210630,2021,INDL,C,D,STD,LRCX,USD,A,4530
6573,20210630,2021,INDL,C,D,STD,LANC,USD,A,3020
6649,20211231,2021,INDL,C,D,STD,LEG,USD,A,2520
6730,20211231,2021,INDL,C,D,STD,LLY,USD,A,3520
6737,20211231,2021,INDL,C,D,STD,LECO,USD,A,2010
6742,20211231,2021,INDL,C,D,STD,LNC,USD,A,4030
6774,20211231,2021,INDL,C,D,STD,LMT,USD,A,2010
6781,20211231,2021,INDL,C,D,STD,L,USD,A,4030
6821,20211231,2021,INDL,C,D,STD,LPX,USD,A,1510
6829,20210131,2020,INDL,C,D,STD,LOW,USD,A,2550
6865,20211231,2021,INDL,C,D,STD,MDC,USD,A,2520
6867,20211231,2021,INDL,C,D,STD,MDU,USD,A,2010
6932,20211231,2021,INDL,C,D,STD,MGEE,USD,A,5510
6994,20211231,2021,INDL,C,D,STD,MTW,USD,A,2010
7017,20211231,2021,INDL,C,D,STD,MRO,USD,A,1010
7022,20211231,2021,INDL,C,D,STD,MCS,USD,A,5020
7063,20211231,2021,INDL,C,D,STD,HST,USD,A,6010
7065,20211231,2021,INDL,C,D,STD,MMC,USD,A,4030
7085,20211231,2021,INDL,C,D,STD,MAS,USD,A,2010
7116,20211231,2021,INDL,C,D,STD,MAT,USD,A,2520
7154,20211231,2021,INDL,C,D,STD,MCD,USD,A,2530
7161,20211231,2021,INDL,C,D,STD,MGRC,USD,A,2010
7163,20211231,2021,INDL,C,D,STD,SPGI,USD,A,4020
7171,20210331,2020,INDL,C,D,STD,MCK,USD,A,3510
7228,20210430,2020,INDL,C,D,STD,MDT,USD,A,3510
7241,20211231,2021,INDL,C,D,STD,CVS,USD,A,3510
7257,20211231,2021,INDL,C,D,STD,MRK,USD,A,3520
7275,20210331,2020,INDL,C,D,STD,MLAB,USD,A,3510
7291,20210430,2020,INDL,C,D,STD,MEI,USD,A,4520
7343,20210831,2021,INDL,C,D,STD,MU,USD,A,4530
7366,20211231,2021,INDL,C,D,STD,ETR,USD,A,5510
7368,20211231,2021,INDL,C,D,STD,MSEX,USD,A,5510
7420,20211231,2021,INDL,C,D,STD,MSA,USD,A,2020
7435,20211231,2021,INDL,C,D,STD,MMM,USD,A,2010
