gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,ebit,lct,lt,ni,sale,costat,prcc_c
8386,20211231,2021,INDL,C,D,STD,PATK,USD,974.075,2650.731,767.557,23.454,355.112,432.777,1883.174,224.915,4078.092,A,80.69
8402,20210531,2020,INDL,C,D,STD,PAYX,USD,6169.5,9227.2,2948,359.8,1465.8,4938.2,6279.2,1097.5,4056.8,A,93.18
8431,20211231,2021,INDL,C,D,STD,AFG,USD,,28931,5012,84.921,1115,,23919,1995,6227,A,137.32
8455,20211231,2021,INDL,C,D,STD,PPL,USD,5007,33223,13723,735.112,1515,2323,19500,-1480,5811,A,30.06
8463,20211231,2021,INDL,C,D,STD,PNR,USD,1304,4753.6,2421.9,165.099,656.3,1051.7,2331.7,553,3764.8,A,73.03
8479,20211231,2021,INDL,C,D,STD,PEP,USD,21783,92377,16043,1383,11363,26220,76226,7618,79474,A,173.71
8486,20211231,2021,INDL,C,D,STD,TPC,USD,3862.492,4724.898,1654.921,51.096,226.804,1777.113,3051.178,91.925,4641.83,A,12.37
8512,20211231,2021,INDL,C,D,STD,PDCE,USD,458.573,5336.666,2910.247,96.413,630.68,920.096,2426.419,522.311,1855.91,A,48.78
8530,20211231,2021,INDL,C,D,STD,PFE,USD,59693,181476,77201,5620,23033,42671,104013,21979,81288,A,59.05
8539,20211231,2021,INDL,C,D,STD,EXC,USD,13957,133013,34393,979.459,3878,16111,98218,1706,36347,A,57.76
8543,20211231,2021,INDL,C,D,STD,MO,USD,6083,39523,-1606,1823.176,11680,8579,41129,2475,21111,A,47.39
8549,20211231,2021,INDL,C,D,STD,COP,USD,16050,90661,45406,1302.243,11649,12021,45255,8079,45960,A,72.18
8551,20210131,2020,INDL,C,D,STD,PVH,USD,3943.7,13293.5,4730.3,71.159,-59.2,2582.4,8566.6,-1136.1,7132.6,A,93.89
8582,20210331,2020,INDL,C,D,STD,SENEA,USD,516.299,909.348,577.152,9.063,152.235,158.13,331.533,126.1,1467.644,A,39.9
8599,20210331,2020,INDL,C,D,STD,AGYS,USD,133.25,189.873,79.876,24.011,-18.229,61.001,74.538,-21.001,137.176,A,38.38
8606,20211231,2021,INDL,C,D,STD,PBI,USD,1892.053,4958.871,112.632,174.731,151.058,1727.94,4846.239,-1.351,3673.561,A,6.63
8692,20211231,2021,INDL,C,D,STD,PCH,USD,421.178,2535.215,1526.133,69.064,548.157,126.179,1009.082,423.86,1337.435,A,60.22
8762,20210630,2021,INDL,C,D,STD,PG,USD,23091,119307,46514,2429.706,18296,33132,72653,14306,76118,A,163.58
8807,20211231,2021,INDL,C,D,STD,PNM,USD,324.6,8666.885,2167.524,85.835,322.661,664.213,6432.427,196.357,1779.873,A,45.61
8810,20211231,2021,INDL,C,D,STD,PEG,USD,6250,48999,14438,504,-856,7072,34561,-648,9722,A,66.73
8823,20211231,2021,INDL,C,D,STD,PHM,USD,,13352.631,7489.515,249.326,2544.939,,5863.116,1946.32,13926.882,A,57.16
8826,20210831,2021,INDL,C,D,STD,PCYO,USD,38.715,117.177,102.74,23.917,5.754,12.46,14.112,20.11,17.61,A,14.6
8832,20210131,2020,INDL,C,D,STD,AGX,USD,546.22,602.63,320.667,15.703,23.026,276.087,280.222,23.851,392.206,A,44.49
8850,20211231,2021,INDL,C,D,STD,KWR,USD,920.254,2955.76,1387.294,17.897,180.289,430.467,1567.838,121.369,1761.158,A,230.78
8898,20210930,2021,INDL,C,D,STD,RJF,USD,,61891,8245,205.739,2058,,53588,1403,9910,A,100.4
8901,20211231,2021,INDL,C,D,STD,RES,USD,492.01,864.365,641.791,215.629,6.409,130.849,222.574,7.217,864.929,A,4.54
8902,20210531,2020,INDL,C,D,STD,RPM,USD,2782.004,6252.969,1741.064,129.573,744.457,1331.414,4509.944,502.643,6106.288,A,90.78
9063,20211231,2021,INDL,C,D,STD,AN,USD,2811.7,8943.6,2377,62.611,1888.9,3059.8,6566.6,1373,25844,A,116.85
9155,20210228,2020,INDL,C,D,STD,RAD,USD,3595.174,9335.404,615.154,55.143,83.835,2602.946,8720.25,-90.909,24043.24,A,15.83
9203,20210930,2021,INDL,C,D,STD,ROK,USD,3063.4,10701.6,2389.6,116,1217.7,2992.2,8007.5,1358.1,6997.4,A,348.85
9216,20211231,2021,INDL,C,D,STD,ROG,USD,584.065,1598.566,1118.895,18.73,138.782,163.949,479.671,108.133,932.886,A,273
9225,20211231,2021,INDL,C,D,STD,ROL,USD,352.38,1980.87,1082.048,491.911,447.989,491.162,898.822,350.687,2424.3,A,34.21
9248,20210131,2020,INDL,C,D,STD,ROST,USD,6692.491,12717.867,3290.64,356.503,568.663,3967.033,9427.227,85.382,12531.565,A,122.81
9273,20210630,2021,INDL,C,D,STD,RGLD,USD,297.135,2651.605,2490.768,65.551,303.696,52.083,148.19,302.532,615.856,A,105.21
9299,20211231,2021,INDL,C,D,STD,R,USD,2460.614,13834.323,2797.946,53.789,614.954,3200.863,11036.377,519.041,9662.953,A,82.43
9317,20211231,2021,INDL,C,D,STD,SEIC,USD,1404.229,2354.702,1860.763,138.449,554.655,355.743,493.939,546.593,1918.309,A,60.94
9324,20211231,2021,INDL,C,D,STD,SJW,USD,134.085,3492.395,1034.519,30.181,105.876,203.271,2457.876,60.478,573.686,A,73.2
9465,20211231,2021,INDL,C,D,STD,SLB,USD,12654,41511,15004,1403.382,2765,10359,26225,1881,22929,A,29.95
9466,20210531,2020,INDL,C,D,STD,SCHL,USD,1028.3,2008.3,1180.8,34.364,11.8,695.5,826,-11,1300.3,A,25
9538,20211231,2021,INDL,C,D,STD,SEB,USD,4047,7503,4416,1.161,458,1552,3069,570,9229,A,3935.01
9551,20210331,2020,INDL,C,D,STD,APPS,USD,97.385,260.369,145.012,89.95,59.209,111.149,,54.884,313.579,A,56.56
9555,20211231,2021,INDL,C,D,STD,SEE,USD,2069.6,6229.3,248.7,148.099,886.6,2007.3,5980.6,506.8,5533.8,A,67.47
9599,20210131,2020,INDL,C,D,STD,SMTC,USD,474.728,1082.102,698.743,65.098,77.021,109.573,383.149,59.903,595.117,A,72.09
9611,20211231,2021,INDL,C,D,STD,SCI,USD,441.06,15691.178,1909.445,163.114,1165.807,728.261,13781.729,802.939,4143.143,A,70.99
9664,20211231,2021,INDL,C,D,STD,SHEN,USD,166.367,890.733,642.275,49.965,5.283,67.29,248.458,998.831,245.239,A,25.5
9667,20211231,2021,INDL,C,D,STD,SHW,USD,5053.7,20666.7,2437.2,261.144,2660.7,5719.5,18229.5,1864.4,19944.6,A,352.16
9771,20211231,2021,INDL,C,D,STD,AOS,USD,1752.6,3474.4,1832.2,157.653,609.5,1118.8,1642.2,487.1,3538.9,A,85.85
9778,20211231,2021,INDL,C,D,STD,SNA,USD,3053.4,6759.7,4181.9,53.43,1123.5,982.2,2555.9,820.5,4601.7,A,215.38
9783,20211231,2021,INDL,C,D,STD,KEY,USD,,186346,15523,928.85,4596,,168923,2625,7561,A,23.13
9815,20211231,2021,INDL,C,D,STD,SON,USD,1658.677,5073.235,1837.445,97.37,521.452,1525.763,3223.694,-85.477,5590.438,A,57.89
9831,20211231,2021,INDL,C,D,STD,SJI,USD,638.962,7308.672,1989.152,117.34,338.12,955.682,5309.231,88.091,1991.996,A,26.12
9846,20211231,2021,INDL,C,D,STD,EIX,USD,5491,74745,13911,380.378,2971,8609,56956,925,14881,A,68.25
9849,20211231,2021,INDL,C,D,STD,AWR,USD,138.052,1900.983,685.947,36.936,140.512,155.574,1215.036,94.347,498.853,A,103.44
9850,20211231,2021,INDL,C,D,STD,SO,USD,8965,127534,27874,1060,5206,10921,94967,2408,23113,A,68.58
9882,20211231,2021,INDL,C,D,STD,LUV,USD,18036,36320,10414,592.12,-1239,9164,25906,977,15790,A,42.84
9890,20211231,2021,INDL,C,D,STD,SWX,USD,1614.767,12765.257,2953.82,60.422,402.047,3112.049,9614.72,200.779,3680.451,A,70.05
9904,20211231,2021,INDL,C,D,STD,SWN,USD,1413,11848,2547,1114.319,2718,3052,9301,-25,6667,A,4.66
9969,20211231,2021,INDL,C,D,STD,STAA,USD,271.411,345.778,258.558,47.716,33.339,48.802,87.22,24.501,230.472,A,91.3
10000,20211231,2021,INDL,C,D,STD,SMP,USD,711.205,1197.961,601.58,22.024,131.095,476.369,585.334,90.886,1298.816,A,52.39
10008,20210630,2021,INDL,C,D,STD,SXI,USD,374.366,962.223,506.425,12.044,78.198,143.709,455.798,36.473,656.232,A,110.66
10016,20211231,2021,INDL,C,D,STD,SWK,USD,8526.4,28180,10970.2,163.329,2012.6,8767.4,16587.6,1689.2,15617.2,A,188.62
10035,20211231,2021,INDL,C,D,STD,STT,USD,,314624,25387,365.983,5958,,287261,2693,12030,A,93
10056,20211231,2021,INDL,C,D,STD,SCL,USD,913.368,2065.612,1074.193,22.42,176.024,500.476,991.419,137.804,2345.966,A,124.29
10086,20211231,2021,INDL,C,D,STD,STC,USD,,2813.362,1282.009,26.893,422.314,,1518.627,323.216,3289.104,A,79.73
10096,20211231,2021,INDL,C,D,STD,PSA,USD,,17380.908,5235.177,175.134,1924.943,,7957.37,1953.263,3660.223,A,374.56
10115,20211231,2021,INDL,C,D,STD,SYK,USD,10017,34631,14877,377.5,3763,4549,19754,1994,17108,A,267.42
10121,20211231,2021,INDL,C,D,STD,NAVI,USD,,80605,2597,153.743,2542.5,,77997,717,3463,A,21.22
